Tender,Date,Competitors,Bid_value_without_inflation,Winner,Bid_value,Bid_value_inflation_raw_milk_price_adjusted_bid,Collusive_competitor,only_cartels_bidding_on_contract,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
3125,1989,12,0.1316,0,0.0887549331235247,0.0179549331235247,0,0,2,0.0092,0.0131,0.0131,0.0,0.0,0.0,0.5,0
593,1982,73,0.12,1,0.1017246835443037,0.0257246835443037,0,0,2,0.0832,0.125,0.125,-2.0008,0.0,0.0,0.5,0
593,1982,106,0.135,0,0.1144402689873417,0.0384402689873417,0,0,2,0.0832,0.125,0.125,-2.0008,0.0,0.0,0.5,0
894,1983,25,0.12,1,0.0972065772065772,0.0208065772065772,0,0,3,0.1237,0.1917,0.1917,8.3115,0.0,0.0,0.5,0
894,1983,106,0.143,0,0.1158378378378378,0.0394378378378378,0,0,3,0.1237,0.1917,0.1917,8.3115,0.0,0.0,0.5,0
1220,1984,73,0.126,1,0.0985467153284671,0.0244467153284671,0,0,3,0.0283,0.0571,0.0198,-3.8966,0.0,0.8664,0.3333,0
1220,1984,106,0.1332,0,0.1041779562043795,0.0300779562043795,0,0,3,0.0283,0.0571,0.0198,-3.8966,0.0,0.8664,0.3333,0
1220,1984,112,0.1285,0,0.10050200729927,0.02640200729927,0,0,3,0.0283,0.0571,0.0198,-3.8966,0.0,0.8664,0.3333,0
1567,1985,73,0.13,1,0.0982334273624823,0.0274334273624823,0,0,3,0.0097,0.0192,0.0131,0.0,0.0,-0.999,0.3467,0
1567,1985,106,0.1317,0,0.099518018335684,0.028718018335684,0,0,3,0.0097,0.0192,0.0131,0.0,0.0,-0.999,0.3467,0
1567,1985,112,0.1325,0,0.1001225317348378,0.0293225317348378,0,0,3,0.0097,0.0192,0.0131,0.0,0.0,-0.999,0.3467,0
1931,1986,73,0.1095,1,0.0808888314374353,0.0108888314374353,0,0,3,0.0848,0.1662,0.0228,0.0,0.0,1.6078,0.5293,0
1931,1986,106,0.1277,0,0.0943333678042054,0.0243333678042054,0,0,3,0.0848,0.1662,0.0228,0.0,0.0,1.6078,0.5293,0
1931,1986,112,0.1119999999999999,0,0.0827356084108928,0.0127356084108927,0,0,3,0.0848,0.1662,0.0228,0.0,0.0,1.6078,0.5293,0
2312,1987,12,0.126,1,0.0908845506563446,0.0207845506563446,0,0,3,0.0463,0.0913,0.0762,0.0,0.0,-1.5488,0.5014,0
2312,1987,106,0.1356,0,0.097809087849209,0.027709087849209,0,0,3,0.0463,0.0913,0.0762,0.0,0.0,-1.5488,0.5014,0
2312,1987,112,0.1375,0,0.09917956916863,0.02907956916863,0,0,3,0.0463,0.0913,0.0762,0.0,0.0,-1.5488,0.5014,0
2721,1988,12,0.1365,0,0.0958451834862385,0.0292451834862385,0,0,3,0.0297,0.0562,0.05,0.0,0.0,-1.6546,0.5571,0
2721,1988,92,0.1373,0,0.0964069134993446,0.0298069134993446,0,0,3,0.0297,0.0562,0.05,0.0,0.0,-1.6546,0.5571,0
2721,1988,112,0.13,1,0.0912811271297509,0.0246811271297509,0,0,3,0.0297,0.0562,0.05,0.0,0.0,-1.6546,0.5571,0
3126,1989,12,0.1495,0,0.1008272226593233,0.0300272226593233,0,0,4,0.0594,0.1262,0.0603,0.0,0.0,0.1347,0.3333,0
3126,1989,92,0.1588,0,0.1070994177812746,0.0362994177812745,0,0,4,0.0594,0.1262,0.0603,0.0,0.0,0.1347,0.3333,0
3126,1989,112,0.141,1,0.0950945712037765,0.0242945712037765,0,0,4,0.0594,0.1262,0.0603,0.0,0.0,0.1347,0.3333,0
3499,1990,12,0.1438,1,0.0936097812879708,0.0139097812879708,0,0,4,0.0652,0.1516,0.0779,0.0,-0.9195,-0.9211,0.4725,0
3499,1990,15,0.155,0,0.1009006682867557,0.0212006682867557,0,0,4,0.0652,0.1516,0.0779,0.0,-0.9195,-0.9211,0.4725,0
3499,1990,92,0.1656,0,0.1078009720534629,0.0281009720534629,0,0,4,0.0652,0.1516,0.0779,0.0,-0.9195,-0.9211,0.4725,0
3499,1990,112,0.165,0,0.1074103888213851,0.0277103888213851,0,0,4,0.0652,0.1516,0.0779,0.0,-0.9195,-0.9211,0.4725,0
2292,1987,28,0.1255,1,0.0905238976775496,0.0204238976775496,0,0,2,0.0394,0.0574,0.0574,0.0,0.0,0.0,0.5,0
2292,1987,106,0.1327,0,0.0957173005721979,0.0256173005721979,0,0,2,0.0394,0.0574,0.0574,0.0,0.0,0.0,0.5,0
2704,1988,28,0.1286,1,0.0902980996068152,0.0236980996068152,0,0,3,0.0412,0.0816,0.0816,0.0,0.0,-1.4579,0.4667,0
2704,1988,12,0.1369999999999999,0,0.0961962647444298,0.0295962647444298,0,0,3,0.0412,0.0816,0.0816,0.0,0.0,-1.4579,0.4667,0
2704,1988,106,0.1391,0,0.0976708060288335,0.0310708060288335,0,0,3,0.0412,0.0816,0.0816,0.0,0.0,-1.4579,0.4667,0
3109,1989,28,0.1415,0,0.0954317859952793,0.0246317859952792,0,0,2,0.0513,0.0752,0.0752,0.0,0.0,0.0,0.5,0
3109,1989,12,0.1316,1,0.0887549331235247,0.0179549331235247,0,0,2,0.0513,0.0752,0.0752,0.0,0.0,0.0,0.5,0
3487,1990,28,0.1439,1,0.0936748784933171,0.0139748784933171,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
78,1980,73,0.1219,1,0.1219,0.0500999999999999,0,0,2,0.0155,0.0221,0.0221,-5.74,0.0,0.0,0.5,0
78,1980,104,0.1246,0,0.1246,0.0528,0,0,2,0.0155,0.0221,0.0221,-5.74,0.0,0.0,0.5,0
338,1981,73,0.126,1,0.114414406779661,0.037514406779661,0,0,2,0.0028,0.004,0.004,-38.2061,0.0,0.0,0.5,0
338,1981,104,0.1265,0,0.1148684322033898,0.0379684322033898,0,0,2,0.0028,0.004,0.004,-38.2061,0.0,0.0,0.5,0
614,1982,73,0.121,1,0.1025723892405063,0.0265723892405063,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
917,1983,73,0.1248,1,0.1010948402948403,0.0246948402948403,0,0,2,0.0162,0.0232,0.0232,-66.2543,0.0,0.0,0.5,0
917,1983,104,0.1277,0,0.1034439992439992,0.0270439992439992,0,0,2,0.0162,0.0232,0.0232,-66.2543,0.0,0.0,0.5,0
1244,1984,73,0.122,1,0.0954182481751824,0.0213182481751824,0,0,2,0.0256,0.0369,0.0369,5.7342,0.0,0.0,0.5,0
1244,1984,104,0.1265,0,0.0989377737226277,0.0248377737226277,0,0,2,0.0256,0.0369,0.0369,5.7342,0.0,0.0,0.5,0
1592,1985,104,0.1285,0,0.0970999647390691,0.0262999647390691,0,0,2,0.0006,0.0008,0.0008,0.0,0.0,0.0,0.5,0
1592,1985,73,0.1284,1,0.0970244005641748,0.0262244005641748,0,0,2,0.0006,0.0008,0.0008,0.0,0.0,0.0,0.5,0
1953,1986,73,0.125,1,0.0923388486728714,0.0223388486728714,0,0,2,0.0084,0.012,0.012,0.0,0.0,0.0,0.5,0
1953,1986,104,0.1265,0,0.0934469148569458,0.0234469148569458,0,0,2,0.0084,0.012,0.012,0.0,0.0,0.0,0.5,0
2337,1987,73,0.1332,1,0.0960779535509929,0.0259779535509929,0,0,2,0.0058,0.0083,0.0083,0.0,0.0,0.0,0.5,0
2337,1987,104,0.1343,0,0.0968713901043419,0.0267713901043419,0,0,2,0.0058,0.0083,0.0083,0.0,0.0,0.0,0.5,0
2747,1988,104,0.1364,1,0.0957749672346002,0.0291749672346002,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3149,1989,109,0.1365,1,0.0920596380802517,0.0212596380802517,0,0,2,0.0398,0.0579,0.0579,0.0,0.0,0.0,0.5,0
3149,1989,104,0.1444,0,0.0973876317859952,0.0265876317859952,0,0,2,0.0398,0.0579,0.0579,0.0,0.0,0.0,0.5,0
51,1980,26,0.1095,1,0.1095,0.0377,0,0,3,0.1267,0.2785,0.0895,2.6009,0.0,0.9928,0.3454,0
51,1980,47,0.14,0,0.14,0.0682,0,0,3,0.1267,0.2785,0.0895,2.6009,0.0,0.9928,0.3454,0
51,1980,104,0.1193,0,0.1193,0.0475,0,0,3,0.1267,0.2785,0.0895,2.6009,0.0,0.9928,0.3454,0
305,1981,26,0.1215,1,0.1103281779661016,0.0334281779661016,0,0,3,0.0777,0.1523,0.0222,2.088,0.0,1.5909,0.5207,0
305,1981,47,0.14,0,0.1271271186440677,0.0502271186440677,0,0,3,0.0777,0.1523,0.0222,2.088,0.0,1.5909,0.5207,0
305,1981,104,0.1242,0,0.1127799152542372,0.0358799152542372,0,0,3,0.0777,0.1523,0.0222,2.088,0.0,1.5909,0.5207,0
579,1982,26,0.1225,1,0.1038439477848101,0.0278439477848101,0,0,3,0.0302,0.0612,0.022,-3.1266,0.0,0.8011,0.3333,0
579,1982,47,0.13,0,0.1102017405063291,0.0342017405063291,0,0,3,0.0302,0.0612,0.022,-3.1266,0.0,0.8011,0.3333,0
579,1982,104,0.1252,0,0.1061327531645569,0.0301327531645569,0,0,3,0.0302,0.0612,0.022,-3.1266,0.0,0.8011,0.3333,0
880,1983,26,0.1265,0,0.1024719334719334,0.0260719334719334,0,0,3,0.0219,0.0442,0.0161,-20.1267,0.0,0.7822,0.3333,0
880,1983,47,0.13,0,0.1053071253071253,0.0289071253071253,0,0,3,0.0219,0.0442,0.0161,-20.1267,0.0,0.7822,0.3333,0
880,1983,104,0.1245,1,0.1008518238518238,0.0244518238518238,0,0,3,0.0219,0.0442,0.0161,-20.1267,0.0,0.7822,0.3333,0
1205,1984,26,0.128,0,0.1001109489051095,0.0260109489051095,0,0,3,0.0164,0.0334,0.0175,16.8707,0.0,-0.1427,0.3333,0
1205,1984,47,0.13,0,0.1016751824817518,0.0275751824817518,0,0,3,0.0164,0.0334,0.0175,16.8707,0.0,-0.1427,0.3333,0
1205,1984,104,0.1258,1,0.0983902919708029,0.0242902919708029,0,0,3,0.0164,0.0334,0.0175,16.8707,0.0,-0.1427,0.3333,0
1547,1985,26,0.1245,1,0.0940773977433004,0.0232773977433004,0,0,3,0.0479,0.0908,0.0843,0.0,0.0,-1.7007,0.5959,0
1547,1985,47,0.135,0,0.1020116361071932,0.0312116361071932,0,0,3,0.0479,0.0908,0.0843,0.0,0.0,-1.7007,0.5959,0
1547,1985,104,0.1358,0,0.1026161495063469,0.0318161495063469,0,0,3,0.0479,0.0908,0.0843,0.0,0.0,-1.7007,0.5959,0
1909,1986,26,0.1225,1,0.090492071699414,0.0204920716994139,0,0,3,0.0529,0.102,0.0922,0.0,0.0,-1.6732,0.5707,0
