Tender,Difference Bid/PTE,Winner,Competitors,Legal_entity_type,Site,Capital,Pre-Tender Estimate (PTE),Bid_value,Cartel_name,Collusive_competitor,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
0,33.77358,0,710,5,29.9580020904541,80000.0,1187850.87,78667110.61,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
1,34.18151,0,80170392,3,255.390029907227,80000.0,1081977.2,71214105.52,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,28.73156,0,128540358,7,164.947998046875,80000.0,1081977.2,77110827.16,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,45.55111,0,133910935,10,307.173095703125,1463244.5,1081977.2,58912457.55,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,35.60453,0,155570021,10,36.5989990234375,200000.0,1081977.2,69674430.32,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,34.03989,0,159170042,11,37.8339920043945,50000.0,1081977.2,71367335.13,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,34.55001,0,167670041,10,60.7339935302734,710000.0,1081977.2,70815396.92,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,27.03676,0,185120045,10,69.0830001831055,2000000.0,1081977.2,78944562.12,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.43098,0,228840278,7,250.042007446289,80000.0,1081977.2,72026161.87,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,38.01124,0,238930010,11,0.347000002861023,208000.0,1081977.2,67070424.98,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,32.6422,0,276690823,11,991.082214355469,30988.0,1081977.2,72879603.84,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,34.00013,0,287960512,2,311.136993408203,80000.0,1081977.2,71410354.54,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,32.28135,0,323030429,7,320.763977050781,80000.0,1081977.2,73270035.31,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,31.53987,0,12464190151,10,92.6620025634766,2600000.0,1081977.2,74072299.77,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,28.4609,0,416500379,3,207.722030639648,80000.0,1081977.2,77403675.11,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,33.21167,0,447840356,7,169.102996826172,80000.0,1081977.2,72263450.29,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,32.81671,0,486000011,10,3.64099907875061,224640.0,1081977.2,72690788.0,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,38.55,0,494890015,10,1.82700002193451,650000.0,1081977.2,66487498.94,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,39.57003,0,519990014,10,4.41699981689453,780000.0,1081977.2,65383849.74,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,36.40394,0,527690010,9,6.76900005340576,30987.419921875,1081977.2,68809486.93,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,32.02272,0,585250079,11,77.5220184326172,98800.0,1081977.2,73549867.08,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,25.45464,0,715350153,7,88.5,80000.0,1081977.2,80656379.89,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.61,0,912600012,10,72.5070037841797,3612000.0,1081977.2,71832466.31,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.73999,0,1185810056,9,29.9580020904541,10329.1396484375,1081977.2,71691820.09,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,34.80801,0,954800165,10,118.512001037598,1033000.0,1081977.2,70536246.8,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,45.06541,0,982520017,10,3.20499992370605,5500000.0,1081977.2,59437973.87,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,34.02461,0,1106400045,10,61.0389976501465,517000.0,1081977.2,71383867.74,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.81117,0,1216530350,11,164.956008911133,100000.0,1081977.2,71614804.95,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,30.76131,0,1571070273,2,242.647994995117,11352.0,1081977.2,74914683.94,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,31.52068,0,1909430165,10,122.873001098633,11000000.0,1081977.2,74093062.91,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,31.15142,0,2186570160,11,130.529006958008,52000.0,1081977.2,74492593.81,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,31.24043,0,2462270048,11,37.8339920043945,93600.0,1081977.2,74396287.02,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,37.84999,0,2525270019,10,0.0,1136000.0,1081977.2,67244893.8,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,38.10427,0,2622650014,10,19.996000289917,1000000.0,1081977.2,66969768.64,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,37.36,0,2888760010,10,1.64999997615814,6000000.0,1081977.2,67775051.81,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,31.89145,0,3678430012,11,4.56700038909912,31200.0,1081977.2,73691898.23,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,31.8862,0,3697740011,0,0.0,50000.0,1081977.2,73697578.61,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,37.7043,0,3774280287,11,222.449996948242,32000.0,1081977.2,67402527.06,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,32.25702,0,3983950019,11,4.21600008010864,500000.0,1081977.2,73296359.82,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,36.47504,1,4108590011,11,6.91599988937378,90000.0,1081977.2,68732558.35,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,37.48795,0,4318090018,10,1.82700002193451,775000.0,1081977.2,67636612.83,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,32.45151,0,4321830822,11,982.777038574219,100000.0,1081977.2,73085926.07,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,37.57001,0,4724200011,11,4.54400014877319,31000.0,1081977.2,67547825.78,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,36.0214,0,798580965,12,94.4420013427734,315000.0,1081977.2,69223386.49,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,39.04032,0,5808040017,11,3.13099980354309,10400.0,1081977.2,65956983.88,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,46.54072,0,6385290157,11,106.196006774902,30600.0,1081977.2,57841722.09,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,38.10858,0,7573200016,11,4.54400014877319,100000.0,1081977.2,66965105.32,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,35.4509,0,7688630016,11,18.7560005187988,116325.0,1081977.2,69840654.48,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
