Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
289973.0,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,1.0,0.0
34867.8,1,1.0,149,2928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
117499.1,1,3.0,150,2928,4,0.0818,0.1783,0.0022,0.8709,3.7727,1.9374,0.6385,0.0,1.0
117757.75,1,3.0,150,2928,4,0.0818,0.1783,0.0022,0.8709,3.7727,1.9374,0.6385,1.0,0.0
119834.9,1,3.0,150,2928,4,0.0818,0.1783,0.0022,0.8709,3.7727,1.9374,0.6385,0.0,0.0
138448.6,1,3.0,150,2928,4,0.0818,0.1783,0.0022,0.8709,3.7727,1.9374,0.6385,0.0,0.0
88103.65,1,3.0,152,2928,4,0.0951,0.2591,0.1197,0.3981,0.5392,-0.3998,0.25,1.0,1.0
98649.65,1,3.0,152,2928,4,0.0951,0.2591,0.1197,0.3981,0.5392,-0.3998,0.25,1.0,0.0
103148.8,1,3.0,152,2928,4,0.0951,0.2591,0.1197,0.3981,0.5392,-0.3998,0.25,0.0,0.0
110929.65,1,3.0,152,2928,4,0.0951,0.2591,0.1197,0.3981,0.5392,-0.3998,0.25,1.0,0.0
49963.05,1,1.0,154,3294,4,0.0819,0.2008,0.1565,6.6188,3.1231,-1.7666,0.5292,1.0,1.0
57781.9,1,1.0,154,3294,4,0.0819,0.2008,0.1565,6.6188,3.1231,-1.7666,0.5292,1.0,0.0
59448.05,1,1.0,154,3294,4,0.0819,0.2008,0.1565,6.6188,3.1231,-1.7666,0.5292,0.0,0.0
59997.85,1,1.0,154,3294,4,0.0819,0.2008,0.1565,6.6188,3.1231,-1.7666,0.5292,1.0,0.0
44342.8,1,3.0,156,3294,5,0.0844,0.1975,0.0162,0.1935,-2.9869,-0.367,0.3399,1.0,1.0
45059.0,1,3.0,156,3294,5,0.0844,0.1975,0.0162,0.1935,-2.9869,-0.367,0.3399,1.0,0.0
50345.15,1,3.0,156,3294,5,0.0844,0.1975,0.0162,0.1935,-2.9869,-0.367,0.3399,1.0,0.0
52574.4,1,3.0,156,3294,5,0.0844,0.1975,0.0162,0.1935,-2.9869,-0.367,0.3399,1.0,0.0
53100.35,1,3.0,156,3294,5,0.0844,0.1975,0.0162,0.1935,-2.9869,-0.367,0.3399,0.0,0.0
178401.95,1,1.0,157,3660,3,0.0648,0.1179,0.0024,0.0368,0.0,1.7297,0.6467,0.0,1.0
178821.95,1,1.0,157,3660,3,0.0648,0.1179,0.0024,0.0368,0.0,1.7297,0.6467,1.0,0.0
199427.0,1,1.0,157,3660,3,0.0648,0.1179,0.0024,0.0368,0.0,1.7297,0.6467,1.0,0.0
15928.25,1,3.0,183,2928,5,0.2611,1.0904,0.3673,0.1066,0.2103,-0.1389,0.2,0.0,1.0
21778.7,1,3.0,183,2928,5,0.2611,1.0904,0.3673,0.1066,0.2103,-0.1389,0.2,1.0,0.0
25498.35,1,3.0,183,2928,5,0.2611,1.0904,0.3673,0.1066,0.2103,-0.1389,0.2,1.0,0.0
27472.7,1,3.0,183,2928,5,0.2611,1.0904,0.3673,0.1066,0.2103,-0.1389,0.2,1.0,0.0
33296.75,1,3.0,183,2928,5,0.2611,1.0904,0.3673,0.1066,0.2103,-0.1389,0.2,1.0,0.0
559708.35,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,0.0,0.0
558360.0,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,1.0
599647.35,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,0.0
599933.25,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,0.0
609962.5,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,0.0
629011.55,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,0.0
749575.85,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,0.0,0.0
597467.3,1,1.0,198,2928,8,0.0981,0.3425,0.0024,0.0268,4.6662,1.9526,0.5055,1.0,0.0
1184801.9,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,1.0,1.0
1256163.85,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,0.0,0.0
1306362.3,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,1.0,0.0
1377794.15,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,0.0,0.0
1399771.4,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,1.0,0.0
1419120.25,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,1.0,0.0
1216843.6,1,2.0,199,2562,7,0.071,0.1978,0.027,1.6556,-1.929,-0.1133,0.2522,0.0,0.0
197395.5,1,1.0,200,2562,5,0.1123,0.3024,0.0614,0.3409,-2.3146,0.2023,0.2585,1.0,1.0
209507.95,1,1.0,200,2562,5,0.1123,0.3024,0.0614,0.3409,-2.3146,0.2023,0.2585,1.0,0.0
